0, SLX, 205.201.101.209:23400
0, [Ice] Duels, 62.78.221.136:23400
0, [aC] Vertaissovittelija, 80.221.242.254:23400
0, WARLORDS, 81.175.140.76:23400
0, NooB, 81.234.39.133:23400
0, [RIP] Antichrist, 81.235.194.222:23400
0, Untitled, 82.207.227.221:23400
0, Mortar OY, 83.102.22.188:23400
0, SW-klaani, 83.102.37.36:23400
0, [AiM], 83.7.222.245:23400
0, <>ONLY MORTAL<>, 84.205.23.220:23400
0, suomi mortars, 84.231.241.162:23400
0, only mortar, 87.94.52.166:23400
0, ]T$P[ mortars, 88.112.170.113:23400
0, lionheart, 88.192.249.12:23400
0, lamda, 88.192.255.110:23400
0, Untitled, 88.73.79.82:23400
